date,help,medical_emergency,health,hygiene,fear,death,negative_emotion,sadness,nervousness,confusion,war,fight,healing,movement,leisure,fun,positive_emotion,optimism,sympathy,family,government,modi,economics,business,occupation
03/02/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/04/20,0,0,0,0,0,0.015625,0,0,0,0,0.015625,0,0,0,0.015625,0.015625,0,0,0,0,0.0625,0,0,0,0
03/05/20,0.010869565217391,0,0,0,0,0.010869565217391,0.021739130434783,0,0,0,0,0.010869565217391,0,0,0,0.010869565217391,0,0.010869565217391,0,0,0.032608695652174,0,0.010869565217391,0.021739130434783,0
03/06/20,0.041666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/07/20,0,0.041666666666667,0.041666666666667,0,0,0,0,0,0,0,0,0.041666666666667,0,0,0,0,0,0,0,0,0,0,0,0.041666666666667,0.020833333333333
03/09/20,0,0,0,0,0,0.041666666666667,0,0.041666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666667,0.083333333333333,0.041666666666667
03/10/20,0,0,0,0,0,0,0.018518518518519,0,0,0,0.018518518518519,0,0,0,0.018518518518519,0,0,0,0,0,0.074074074074074,0,0,0,0
03/11/20,0.009090909090909,0.009090909090909,0.018181818181818,0,0,0,0.018181818181818,0,0,0,0.009090909090909,0.004545454545455,0,0.004545454545455,0.004545454545455,0.004545454545455,0,0.004545454545455,0,0.009090909090909,0.045454545454546,0.004545454545455,0.004545454545455,0.018181818181818,0.009090909090909
03/12/20,0.017142857142857,0.011428571428572,0.022857142857143,0,0.022857142857143,0,0.017142857142857,0,0.022857142857143,0,0,0.011428571428572,0,0,0.005714285714286,0,0,0.005714285714286,0,0,0.04,0,0,0.005714285714286,0
3/13,0,0,0,0,0.006289308176101,0,0,0.006289308176101,0.006289308176101,0,0.018867924528302,0.018867924528302,0,0,0.006289308176101,0.006289308176101,0,0,0.006289308176101,0,0.088050314465409,0,0.006289308176101,0.018867924528302,0.012578616352201
3/14,0.012953367875648,0.00259067357513,0.007772020725389,0,0.00259067357513,0.005181347150259,0.005181347150259,0.007772020725389,0.00259067357513,0,0.012953367875648,0.015544041450777,0.005181347150259,0.00259067357513,0.020725388601036,0.010362694300518,0,0.00259067357513,0,0.007772020725389,0.041450777202073,0,0.007772020725389,0.023316062176166,0
3/15,0.009681881051176,0.006915629322268,0.020055325034578,0.001383125864454,0.008990318118949,0.006224066390042,0.019363762102351,0.005532503457815,0.003457814661134,0.001383125864454,0.01521438450899,0.012448132780083,0.014522821576764,0.005532503457815,0.015905947441217,0.004840940525588,0.004840940525588,0.004149377593361,0.000691562932227,0,0.060165975103735,0.002074688796681,0.006915629322268,0.011065006915629,0.001383125864454
3/16,0.006857142857143,0.013714285714286,0.027428571428572,0.003428571428571,0.006857142857143,0.009142857142857,0.016,0.006857142857143,0.009142857142857,0.001142857142857,0.010285714285714,0.009142857142857,0.020571428571429,0.006857142857143,0.009142857142857,0,0.009142857142857,0.005714285714286,0.003428571428571,0.006857142857143,0.069714285714286,0.002285714285714,0.003428571428571,0.006857142857143,0.003428571428571
3/17,0.012396694214876,0.012396694214876,0.015495867768595,0,0.009297520661157,0.011363636363636,0.015495867768595,0.006198347107438,0.011363636363636,0.004132231404959,0.006198347107438,0.005165289256198,0.011363636363636,0.005165289256198,0.012396694214876,0.002066115702479,0.005165289256198,0.003099173553719,0.003099173553719,0.006198347107438,0.044421487603306,0.00103305785124,0.004132231404959,0.011363636363636,0.005165289256198
3/18,0.001636661211129,0.006546644844517,0.006546644844517,0,0.001636661211129,0,0.008183306055646,0.001636661211129,0.003273322422259,0,0.013093289689034,0.008183306055646,0.006546644844517,0.006546644844517,0.009819967266776,0.001636661211129,0.013093289689034,0.004909983633388,0.003273322422259,0.004909983633388,0.04746317512275,0.001636661211129,0.003273322422259,0.02291325695581,0.001636661211129
